Audit Id,Form Id,Audit Score,Date Of Transaction,Partner,Agentid,Agentname,Selected Fd Group,FATAL,Audited By
PID0220_001-13285,PID0220_001,90,2025-01-01,Vertex Solutions,HEX005,Hex Agent 05,Account related,No,QC7841
PID0220_001-13288,PID0220_001,95,2025-01-01,Apex Operations,CNX030,CNX Agent 30,Fulfilment Pending,No,QC8165
PID0220_001-13291,PID0220_001,100,2025-01-01,Vertex Solutions,HEX009,Hex Agent 09,General Enquiries,No,QC7841
PID0220_001-13294,PID0220_001,95,2025-01-01,Apex Operations,CNX028,CNX Agent 28,Post Fulfilment,No,QC8165
PID0220_001-13295,PID0220_001,100,2025-01-01,Apex Operations,CNX027,CNX Agent 27,Fulfilment Pending,No,QC8165
PID0220_001-13300,PID0220_001,100,2025-01-01,Apex Operations,CNX002,CNX Agent 02,Post Fulfilment,No,QC9234
PID0220_001-13301,PID0220_001,95,2025-01-01,Apex Operations,CNX003,CNX Agent 03,Post Fulfilment,No,QC1078
PID0220_001-13309,PID0220_001,100,2025-01-01,Apex Operations,CNX016,CNX Agent 16,General Enquiries,No,QC8165
PID0220_001-13311,PID0220_001,100,2025-01-01,Apex Operations,CNX010,CNX Agent 10,Fulfilment Pending,No,QC8165
PID0220_001-13315,PID0220_001,100,2025-01-01,Apex Operations,CNX009,CNX Agent 09,Non actionable,No,QC8165
PID0220_001-13318,PID0220_001,100,2025-01-01,Apex Operations,CNX006,CNX Agent 06,Offers,No,QC9234
PID0220_001-13323,PID0220_001,80,2025-01-01,Apex Operations,CNX013,CNX Agent 13,Account related,No,QC1078
PID0220_001-13325,PID0220_001,90,2025-01-01,Apex Operations,CNX006,CNX Agent 06,Fulfilment Pending,No,QC9234
PID0220_001-13330,PID0220_001,89,2025-01-01,Apex Operations,CNX014,CNX Agent 14,Post Fulfilment,No,QC1078
PID0220_001-13331,PID0220_001,90,2025-01-01,Apex Operations,CNX003,CNX Agent 03,security,No,QC8165
PID0220_001-13332,PID0220_001,99,2025-01-01,Apex Operations,CNX007,CNX Agent 07,Non actionable,No,QC9234
PID0220_001-13334,PID0220_001,100,2025-01-01,Apex Operations,CNX003,CNX Agent 03,Fulfilment Pending,No,QC8165
PID0220_001-13337,PID0220_001,99,2025-01-01,Apex Operations,CNX007,CNX Agent 07,Payment Failed,No,QC9234
PID0220_001-13338,PID0220_001,100,2025-01-01,Apex Operations,CNX001,CNX Agent 01,Post Fulfilment,No,QC8165
PID0220_001-13342,PID0220_001,100,2025-01-01,Apex Operations,CNX010,CNX Agent 10,Non actionable,No,QC9234
PID0220_001-13343,PID0220_001,0,2025-01-01,Apex Operations,CNX024,CNX Agent 24,General Enquiries,No,QC1078
PID0220_001-13351,PID0220_001,95,2025-01-01,Apex Operations,CNX014,CNX Agent 14,Account related,No,QC9234
PID0220_001-13352,PID0220_001,95,2025-01-01,Apex Operations,CNX015,CNX Agent 15,Fulfilment Pending,No,QC9234
PID0220_001-13354,PID0220_001,94,2025-01-01,Apex Operations,CNX015,CNX Agent 15,Account related,No,QC9234
PID0220_001-13356,PID0220_001,100,2025-01-01,Apex Operations,CNX016,CNX Agent 16,Fulfilment Pending,Yes,QC9234
PID0220_001-13359,PID0220_001,90,2025-01-01,Apex Operations,CNX028,CNX Agent 28,Post Fulfilment,Yes,QC9234
PID0220_001-13361,PID0220_001,85,2025-01-01,Apex Operations,CNX022,CNX Agent 22,Post Fulfilment,Yes,QC7841
PID0220_001-13365,PID0220_001,90,2025-01-01,Vertex Solutions,HEX002,Hex Agent 02,Risk Team,Yes,QC7841
PID0220_001-13367,PID0220_001,90,2025-01-01,Vertex Solutions,HEX023,Hex Agent 23,Account related,Yes,QC1078
PID0220_001-13369,PID0220_001,100,2025-01-01,Vertex Solutions,HEX011,Hex Agent 11,Account related,Yes,QC9234
PID0220_001-13371,PID0220_001,95,2025-01-01,Vertex Solutions,HEX014,Hex Agent 14,Post Fulfilment,Yes,QC7841
PID0220_001-13372,PID0220_001,95,2025-01-01,Vertex Solutions,HEX026,Hex Agent 26,Account related,Yes,QC1078
PID0220_001-13374,PID0220_001,96,2025-01-01,Vertex Solutions,HEX012,Hex Agent 12,Non actionable,Yes,QC9234
PID0220_001-13385,PID0220_001,0,2025-01-02,Horizon Services,TECH013,TechM Agent 13,Post Fulfilment,Yes,QC7841
PID0220_001-13388,PID0220_001,85,2025-01-02,Horizon Services,TECH017,TechM Agent 17,Account related,Yes,QC7841
PID0220_001-13390,PID0220_001,100,2025-01-02,Horizon Services,TECH015,TechM Agent 15,Post Fulfilment,Yes,QC7841
PID0220_001-13391,PID0220_001,95,2025-01-02,Nova Support,TRANS003,Trans Agent 03,Fulfilment Pending,Yes,QC7841
PID0220_001-13400,PID0220_001,90,2025-01-02,Nova Support,TRANS021,Trans Agent 21,Payment Failed,Yes,QC7841
PID0220_001-13403,PID0220_001,95,2025-01-02,Apex Operations,CNX010,CNX Agent 10,security,Yes,QC1078
PID0220_001-13409,PID0220_001,100,2025-01-02,Apex Operations,CNX013,CNX Agent 13,Post Fulfilment,Yes,QC8165
PID0220_001-13410,PID0220_001,95,2025-01-02,Apex Operations,CNX013,CNX Agent 13,Fulfilment Pending,Yes,QC1078
PID0220_001-13411,PID0220_001,100,2025-01-02,Apex Operations,CNX024,CNX Agent 24,Post Fulfilment,Yes,QC8165
