Audit Id,Form Id,Audit Score,Agentid,Agentname,Partner,Date Of Transaction,Selected Fd Group,FATAL,Audited By
PID0314_001-24,PID0314_001,90,HX210,Falcon-10,Vertex Solutions,2025-05-06,Merchant profile,No,QC7841
PID0314_001-29,PID0314_001,80,HX221,Falcon-21,Vertex Solutions,2025-05-06,Devices,No,QC7841
PID0314_001-31,PID0314_001,0,HX211,Falcon-11,Vertex Solutions,2025-05-06,Settlements,No,QC9234
PID0314_001-34,PID0314_001,90,TC407,Orion-07,Nova Support,2025-05-06,FRA Merchant Escalations,No,QC7841
PID0314_001-36,PID0314_001,70,HX213,Falcon-13,Vertex Solutions,2025-05-06,Devices,No,QC9234
PID0314_001-39,PID0314_001,80,TC408,Orion-08,Nova Support,2025-05-06,Devices,No,QC7841
PID0314_001-40,PID0314_001,100,TC411,Orion-11,Nova Support,2025-05-06,Generic,No,QC7841
PID0314_001-42,PID0314_001,0,TC411,Orion-11,Nova Support,2025-05-06,Merchant profile,No,QC7841
PID0314_001-44,PID0314_001,90,TC426,Orion-26,Nova Support,2025-05-06,Devices,No,QC7841
PID0314_001-47,PID0314_001,90,HX223,Falcon-23,Vertex Solutions,2025-05-06,Merchant profile,No,QC9234
PID0314_001-51,PID0314_001,90,HX208,Falcon-08,Vertex Solutions,2025-05-07,Devices,No,QC7841
PID0314_001-62,PID0314_001,70,HX207,Falcon-07,Vertex Solutions,2025-05-07,Onboarding,No,QC9234
PID0314_001-66,PID0314_001,80,HX219,Falcon-19,Vertex Solutions,2025-05-07,Settlements,No,QC9234
PID0314_001-75,PID0314_001,0,HX212,Falcon-12,Vertex Solutions,2025-05-07,Settlements,No,QC7426
PID0314_001-76,PID0314_001,90,TC405,Orion-05,Nova Support,2025-05-07,Merchant profile,No,QC7841
PID0314_001-79,PID0314_001,50,HX213,Falcon-13,Vertex Solutions,2025-05-07,Post disbursal,No,QC7426
PID0314_001-87,PID0314_001,100,HX205,Falcon-05,Vertex Solutions,2025-05-08,Devices,No,QC7841
PID0314_001-97,PID0314_001,0,HX205,Falcon-05,Vertex Solutions,2025-05-08,Devices,No,QC7426
PID0314_001-98,PID0314_001,80,HX219,Falcon-19,Vertex Solutions,2025-05-08,Merchant profile,No,QC7841
PID0314_001-105,PID0314_001,0,HX205,Falcon-05,Vertex Solutions,2025-05-08,Settlements,No,QC7426
PID0314_001-106,PID0314_001,90,HX209,Falcon-09,Vertex Solutions,2025-05-08,Devices,No,QC7426
PID0314_001-107,PID0314_001,90,HX219,Falcon-19,Vertex Solutions,2025-05-08,Devices,No,QC7841
PID0314_001-108,PID0314_001,0,HX219,Falcon-19,Vertex Solutions,2025-05-08,Devices,No,QC7841
PID0314_001-109,PID0314_001,80,HX211,Falcon-11,Vertex Solutions,2025-05-08,Devices,No,QC7426
PID0314_001-113,PID0314_001,80,HX222,Falcon-22,Vertex Solutions,2025-05-08,Merchant profile,Yes,QC7841
PID0314_001-114,PID0314_001,100,HX223,Falcon-23,Vertex Solutions,2025-05-08,Devices,Yes,QC7841
PID0314_001-116,PID0314_001,100,HX223,Falcon-23,Vertex Solutions,2025-05-08,Generic,Yes,QC7841
PID0314_001-121,PID0314_001,80,HX224,Falcon-24,Vertex Solutions,2025-05-06,Merchant profile,Yes,QC7841
PID0314_001-131,PID0314_001,100,TC401,Orion-01,Nova Support,2025-05-08,Devices,Yes,QC7841
PID0314_001-132,PID0314_001,90,TC402,Orion-02,Nova Support,2025-05-08,Settlements,Yes,QC7841
PID0314_001-135,PID0314_001,90,TC404,Orion-04,Nova Support,2025-05-08,Devices,Yes,QC7841
PID0314_001-136,PID0314_001,0,TC403,Orion-03,Nova Support,2025-05-08,Devices,Yes,QC7426
PID0314_001-137,PID0314_001,90,TC404,Orion-04,Nova Support,2025-05-08,Settlements,Yes,QC7841
PID0314_001-141,PID0314_001,100,TC412,Orion-12,Nova Support,2025-05-08,Onboarding,Yes,QC7841
PID0314_001-143,PID0314_001,100,TC414,Orion-14,Nova Support,2025-05-08,Merchant profile,Yes,QC7841
PID0314_001-148,PID0314_001,80,TC405,Orion-05,Nova Support,2025-05-08,Devices,Yes,QC7426
PID0314_001-157,PID0314_001,80,TC407,Orion-07,Nova Support,2025-05-08,Settlements,Yes,QC7426
PID0314_001-158,PID0314_001,70,TC407,Orion-07,Nova Support,2025-05-08,Payments,Yes,QC7426
PID0314_001-160,PID0314_001,90,HX210,Falcon-10,Vertex Solutions,2025-05-08,Settlements,Yes,QC9234
PID0314_001-164,PID0314_001,90,SK301,Nova-01,Quantum Assist,2025-05-10,Merchant profile,Yes,QC7841
PID0314_001-175,PID0314_001,0,HX213,Falcon-13,Vertex Solutions,2025-05-10,Settlements,Yes,QC7841
PID0314_001-198,PID0314_001,80,TC408,Orion-08,Nova Support,2025-05-10,Settlements,Yes,QC7841
PID0314_001-199,PID0314_001,90,HX205,Falcon-05,Vertex Solutions,2025-05-10,Generic,Yes,QC9234
PID0314_001-200,PID0314_001,90,TC411,Orion-11,Nova Support,2025-05-10,Settlements,Yes,QC7841
PID0314_001-202,PID0314_001,100,TC411,Orion-11,Nova Support,2025-05-10,Generic,Yes,QC7841
PID0314_001-203,PID0314_001,0,TC417,Orion-17,Nova Support,2025-05-10,Settlements,Yes,QC7841
PID0314_001-204,PID0314_001,90,TC417,Orion-17,Nova Support,2025-05-10,Generic,Yes,QC7841
PID0314_001-205,PID0314_001,70,TC424,Orion-24,Nova Support,2025-05-10,Devices,Yes,QC7841
PID0314_001-206,PID0314_001,0,TC424,Orion-24,Nova Support,2025-05-10,Generic,Yes,QC7841
PID0314_001-211,PID0314_001,70,SK301,Nova-01,Quantum Assist,2025-05-11,Devices,Yes,QC7426
PID0314_001-214,PID0314_001,80,SK301,Nova-01,Quantum Assist,2025-05-11,Devices,Yes,QC7426
PID0314_001-216,PID0314_001,80,SK301,Nova-01,Quantum Assist,2025-05-11,Settlements,Yes,QC7426
PID0314_001-219,PID0314_001,70,SK301,Nova-01,Quantum Assist,2025-05-11,Settlements,Yes,QC7426
PID0314_001-222,PID0314_001,90,HX201,Falcon-01,Vertex Solutions,2025-05-11,Onboarding,Yes,QC7426
PID0314_001-223,PID0314_001,90,HX210,Falcon-10,Vertex Solutions,2025-05-11,Devices,Yes,QC7426
PID0314_001-227,PID0314_001,100,HX207,Falcon-07,Vertex Solutions,2025-05-11,Post disbursal,Yes,QC7841
PID0314_001-232,PID0314_001,0,HX226,Falcon-26,Vertex Solutions,2025-05-11,Devices,Yes,QC7426
PID0314_001-233,PID0314_001,90,HX221,Falcon-21,Vertex Solutions,2025-05-11,Settlements,Yes,QC7841
PID0314_001-234,PID0314_001,0,TC401,Orion-01,Nova Support,2025-05-11,Merchant profile,Yes,QC7426
PID0314_001-235,PID0314_001,90,HX222,Falcon-22,Vertex Solutions,2025-05-11,Settlements,Yes,QC7841
PID0314_001-237,PID0314_001,0,TC401,Orion-01,Nova Support,2025-05-11,Devices,Yes,QC7426
PID0314_001-239,PID0314_001,80,TC402,Orion-02,Nova Support,2025-05-11,Devices,Yes,QC7426
PID0314_001-242,PID0314_001,90,TC402,Orion-02,Nova Support,2025-05-11,Settlements,Yes,QC7426
PID0314_001-243,PID0314_001,70,HX225,Falcon-25,Vertex Solutions,2025-05-11,Lending,Yes,QC9234
PID0314_001-245,PID0314_001,0,TC406,Orion-06,Nova Support,2025-05-11,Devices,Yes,QC9234
PID0314_001-246,PID0314_001,70,TC406,Orion-06,Nova Support,2025-05-11,Devices,Yes,QC9234
PID0314_001-247,PID0314_001,70,TC407,Orion-07,Nova Support,2025-05-11,Devices,Yes,QC9234
PID0314_001-249,PID0314_001,0,TC413,Orion-13,Nova Support,2025-05-11,Non actionable,Yes,QC9234
PID0314_001-251,PID0314_001,100,TC403,Orion-03,Nova Support,2025-05-11,Lending,Yes,QC7426
PID0314_001-253,PID0314_001,100,TC403,Orion-03,Nova Support,2025-05-11,Merchant profile,Yes,QC7426
PID0314_001-257,PID0314_001,90,TC407,Orion-07,Nova Support,2025-05-11,Generic,Yes,QC7841
PID0314_001-258,PID0314_001,80,TC418,Orion-18,Nova Support,2025-05-11,Generic,Yes,QC7841
PID0314_001-259,PID0314_001,0,TC404,Orion-04,Nova Support,2025-05-11,Post disbursal,Yes,QC7426
PID0314_001-260,PID0314_001,90,TC404,Orion-04,Nova Support,2025-05-11,Devices,Yes,QC7426
PID0314_001-262,PID0314_001,0,TC405,Orion-05,Nova Support,2025-05-11,Devices,Yes,QC7426
PID0314_001-264,PID0314_001,0,TC413,Orion-13,Nova Support,2025-05-11,Settlements,Yes,QC9234
PID0314_001-265,PID0314_001,0,TC405,Orion-05,Nova Support,2025-05-11,Merchant profile,Yes,QC7426
PID0314_001-266,PID0314_001,80,TC424,Orion-24,Nova Support,2025-05-11,Merchant profile,Yes,QC7841
PID0314_001-267,PID0314_001,0,TC401,Orion-01,Nova Support,2025-05-11,Generic,Yes,QC7841
PID0314_001-275,PID0314_001,90,TC406,Orion-06,Nova Support,2025-05-11,Merchant profile,Yes,QC7841
PID0314_001-276,PID0314_001,0,TC406,Orion-06,Nova Support,2025-05-11,Devices,Yes,QC7841
PID0314_001-277,PID0314_001,0,TC407,Orion-07,Nova Support,2025-05-11,Settlements,Yes,QC7841
PID0314_001-278,PID0314_001,90,TC417,Orion-17,Nova Support,2025-05-11,Devices,Yes,QC7841
PID0314_001-279,PID0314_001,0,TC418,Orion-18,Nova Support,2025-05-11,Generic,Yes,QC7841
PID0314_001-280,PID0314_001,0,TC417,Orion-17,Nova Support,2025-05-11,Generic,Yes,QC7841
PID0314_001-282,PID0314_001,90,TC418,Orion-18,Nova Support,2025-05-11,Generic,Yes,QC7841
PID0314_001-284,PID0314_001,90,TC420,Orion-20,Nova Support,2025-05-11,Generic,Yes,QC7841
PID0314_001-286,PID0314_001,90,TC414,Orion-14,Nova Support,2025-05-11,Devices,Yes,QC7426
PID0314_001-287,PID0314_001,0,HX216,Falcon-16,Vertex Solutions,2025-05-11,Settlements,Yes,QC9234
PID0314_001-288,PID0314_001,90,TC414,Orion-14,Nova Support,2025-05-11,Onboarding,Yes,QC7426
PID0314_001-292,PID0314_001,60,HX217,Falcon-17,Vertex Solutions,2025-05-11,Generic,Yes,QC9234
PID0314_001-293,PID0314_001,0,TC415,Orion-15,Nova Support,2025-05-11,Generic,Yes,QC7426
PID0314_001-296,PID0314_001,0,TC413,Orion-13,Nova Support,2025-05-11,Devices,Yes,QC9234
PID0314_001-297,PID0314_001,90,TC417,Orion-17,Nova Support,2025-05-11,Generic,Yes,QC9234
PID0314_001-298,PID0314_001,0,TC417,Orion-17,Nova Support,2025-05-11,Settlements,Yes,QC9234
PID0314_001-299,PID0314_001,0,TC419,Orion-19,Nova Support,2025-05-11,Devices,Yes,QC9234
PID0314_001-300,PID0314_001,0,TC419,Orion-19,Nova Support,2025-05-11,Devices,Yes,QC9234
PID0314_001-308,PID0314_001,80,SK301,Nova-01,Quantum Assist,2025-05-11,Generic,Yes,QC7426
PID0314_001-309,PID0314_001,80,SK301,Nova-01,Quantum Assist,2025-05-11,Devices,Yes,QC7426
PID0314_001-319,PID0314_001,80,TC407,Orion-07,Nova Support,2025-05-12,Generic,Yes,QC7426
PID0314_001-320,PID0314_001,100,SK301,Nova-01,Quantum Assist,2025-05-12,Generic,Yes,QC9234
PID0314_001-322,PID0314_001,100,SK301,Nova-01,Quantum Assist,2025-05-12,Non actionable,Yes,QC9234
